종목명,티커,터치시각,밴드종류,터치가격,이격도(%),터치전기울기(%/봉),터치전각도(도),터치후기울기(%/봉),터치후각도(도),반전각도(도),반전성공여부,구름상태,피보4,피보5,구간
HD현대일렉트릭,267260.KS,2017-09-08 00:00:00+09:00,엔하5터치,43600.93926317139,-24.07345817025199,-2.395433916422317,-67.3413714316902,1.260684430309061,51.57784841702033,118.91921984871053,True,음운,48643.48920898438,50714.680795522836,학습
HD현대일렉트릭,267260.KS,2018-03-23 00:00:00+09:00,엔하5터치,30904.700941268424,-25.56072523187311,-0.955260163778639,-43.68919921721176,0.5688936130060274,29.63527129953098,73.32447051674274,True,음운,32735.466845703126,33403.54884690505,학습
HD현대일렉트릭,267260.KS,2018-04-10 00:00:00+09:00,엔하5터치,30131.0611601997,-20.412492623586033,-1.052628668373461,-46.46872160565073,-0.18134583836024137,-10.27864703111977,36.19007457453096,True,음운,31557.19921875,32112.525240384617,학습
HD현대일렉트릭,267260.KS,2018-05-15 00:00:00+09:00,엔상5터치,44993.00660383834,22.534579978942556,1.7560441349639668,60.34014119341872,-1.3807981712938338,-54.08723731976083,-114.42737851317955,True,양운,39442.17333984375,38839.55209585337,학습
HD현대일렉트릭,267260.KS,2018-07-23 00:00:00+09:00,엔하5터치,22801.885068367046,-27.330094603374462,-0.8952684978215695,-41.837083331184616,2.0608145582737785,64.11525067544143,105.95233400662605,True,음운,23693.09365234375,24037.31434044471,학습
HD현대일렉트릭,267260.KS,2018-11-01 00:00:00+09:00,엔하5터치,17915.766234775256,-30.789380285732953,-5.748792759360059,-80.13216197016168,-3.6499422597858113,-74.6782589375798,5.453903032581877,True,음운,22515.33498535156,24260.86967585637,학습
HD현대일렉트릭,267260.KS,2018-11-06 00:00:00+09:00,엔하5터치,17956.48415723855,-29.216465032234545,-3.615664604063016,-74.53992226445092,2.7227681627704143,69.83306510498363,144.37298736943455,True,음운,19527.421875,21692.035381610578,학습
HD현대일렉트릭,267260.KS,2019-02-01 00:00:00+09:00,엔상5터치,25814.994909208737,26.22241892953452,2.2593286224642357,66.12537018679188,-0.3833869021703235,-20.97616941259036,-87.10153959938225,True,양운,22040.974951171876,21284.566162109375,학습
HD현대일렉트릭,267260.KS,2019-02-13 00:00:00+09:00,엔상5터치,25814.99420732167,21.83179029559649,-1.4217265885179249,-54.87859185514509,1.0819713176192753,47.25468330674284,102.13327516188792,False,양운,24587.8646484375,23598.425555889422,학습
HD현대일렉트릭,267260.KS,2019-02-15 00:00:00+09:00,엔상5터치,25896.42535724079,22.146023165810014,0.34313634433035967,18.938957584111407,1.3787638259172577,54.04709695091193,35.10813936680052,False,양운,24937.52687988281,24340.54354154147,학습
HD현대일렉트릭,267260.KS,2019-05-08 00:00:00+09:00,엔하5터치,17182.8482734512,-18.183918928051217,-2.3093270807537247,-66.58610611576016,-2.2802836851635204,-66.32053428543946,0.2655718303206953,True,음운,18355.008984375,18728.35877403846,학습
HD현대일렉트릭,267260.KS,2019-08-02 00:00:00+09:00,엔하5터치,10383.002253739847,-25.36446096221432,-0.842109426544049,-40.10104711569627,0.8898249104267566,41.66348429025038,81.76453140594666,True,음운,11197.863391113282,11711.21916785607,학습
HD현대일렉트릭,267260.KS,2020-01-10 00:00:00+09:00,엔상5터치,12406.350655142716,33.012332930474614,-0.4444442212444644,-23.96247829559004,-0.6694547074040045,-33.8005165496067,-9.83803825401666,False,양운,10689.78232421875,10479.170522836539,학습
HD현대일렉트릭,267260.KS,2020-03-13 00:00:00+09:00,엔하5터치,5827.656536506204,-34.18379118061629,-3.2751093980190444,-73.02082369862696,-3.721289061470733,-74.95858403587332,-1.9377603372463597,False,음운,7988.905120849609,8262.99289879432,학습
HD현대일렉트릭,267260.KS,2020-07-28 00:00:00+09:00,엔상5터치,10219.790136232898,18.684896648857492,0.586420986040912,30.388254417714037,1.4224093310475754,54.89153516333055,24.503280745616514,False,양운,9206.486651611329,8809.54191002479,학습
HD현대일렉트릭,267260.KS,2020-09-04 00:00:00+09:00,엔상5터치,16494.2652121944,51.7966463583782,3.999996605684211,75.96374509206622,1.9498603257162868,62.848651836657716,-13.115093255408503,True,양운,12176.404846191406,11626.839979905348,학습
HD현대일렉트릭,267260.KS,2021-05-11 00:00:00+09:00,엔상5터치,23481.75158167178,20.7944272746624,3.3732058051215286,73.48733798311389,-1.7706231685591893,-60.543415504955995,-134.03075348806988,True,양운,21951.1603515625,21106.88469050481,학습
HD현대일렉트릭,267260.KS,2022-01-25 00:00:00+09:00,엔하5터치,16684.400390625,-18.90768814568162,-0.5778860777044287,-30.02301933289621,3.3333356745921803,73.30076684213005,103.32378617502626,True,음운,18296.396044921876,18620.723238431492,학습
HD현대일렉트릭,267260.KS,2022-01-27 00:00:00+09:00,엔하5터치,14973.181474793631,-25.446616448133803,-3.307891206548158,-73.17954443546809,2.349569488772848,66.94491674502027,140.12446118048837,True,음운,17398.598974609376,17968.274470402645,학습
