종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,이격도(%),이격도크기,이격도구간
두산에너빌리티,034020.KS,2014-10-21 00:00:00+09:00,엔하5터치,롱,16539.3828125,16539.3828125,5,5봉경과,0.0,-9.89565079618862,False,학습,-14.716534368804684,14.716534368804684,작음
두산에너빌리티,034020.KS,2015-08-21 00:00:00+09:00,엔하5터치,롱,12915.1142578125,13848.287109375,5,5봉경과,7.225432411471027,129.6730049752087,True,학습,-21.761937414221123,21.761937414221123,중간
두산에너빌리티,034020.KS,2016-01-15 00:00:00+09:00,엔하5터치,롱,11368.1689453125,11911.3583984375,5,5봉경과,4.7781613357265975,105.27680876414624,True,학습,-29.76875075511683,29.76875075511683,큼
두산에너빌리티,034020.KS,2017-08-04 00:00:00+09:00,엔하5터치,롱,14724.0869140625,14763.66796875,5,5봉경과,0.2688183988488781,41.83884223310815,True,학습,-14.15120428190133,14.15120428190133,작음
두산에너빌리티,034020.KS,2018-10-23 00:00:00+09:00,엔하5터치,롱,9380.66796875,8509.888671875,5,5봉경과,-9.282700334089682,-18.07821648596561,False,검증,-17.127074158793608,17.127074158793608,작음
두산에너빌리티,034020.KS,2019-02-22 00:00:00+09:00,엔하5터치,롱,6610.0068359375,6570.42578125,5,5봉경과,-0.5988050492218017,22.83704404715697,True,검증,-20.72232709535272,20.72232709535272,중간
두산에너빌리티,034020.KS,2019-03-28 00:00:00+09:00,엔하5터치,롱,5954.48046875,6503.15625,5,5봉경과,9.21450299702102,60.856119819495554,False,검증,-19.716517403797127,19.716517403797127,중간
두산에너빌리티,034020.KS,2019-08-06 00:00:00+09:00,엔하5터치,롱,4677.2353515625,4884.11328125,5,5봉경과,4.42308146025599,113.28088683267,True,검증,-16.85587329810769,16.85587329810769,작음
두산에너빌리티,034020.KS,2019-11-21 00:00:00+09:00,엔하5터치,롱,4812.15576171875,4965.0654296875,5,5봉경과,3.177571041759785,80.27465147185268,True,검증,-15.238123181175734,15.238123181175734,작음
두산에너빌리티,034020.KS,2020-03-11 00:00:00+09:00,엔하5터치,롱,3229.09130859375,2603.9609375,5,5봉경과,-19.35932779076447,-13.43005291809007,False,검증,-33.99400699372307,33.99400699372307,큼
두산에너빌리티,034020.KS,2020-03-30 00:00:00+09:00,엔하5터치,롱,3071.684326171875,3373.00634765625,5,5봉경과,9.8096675793473,-17.751197724060006,False,검증,-28.474187261380685,28.474187261380685,큼
두산에너빌리티,034020.KS,2022-02-15 00:00:00+09:00,엔하5터치,롱,15450.0,18500.0,5,5봉경과,19.741100323624597,137.3222994784618,True,검증,-20.007029802931083,20.007029802931083,중간
두산에너빌리티,034020.KS,2022-10-11 00:00:00+09:00,엔하5터치,롱,13500.0,13500.0,5,5봉경과,0.0,0.7828999051718561,False,검증,-26.841164038367744,26.841164038367744,큼
삼성전자,005930.KS,2000-09-14 00:00:00+09:00,엔하5터치,롱,3291.19091796875,3074.574951171875,5,5봉경과,-6.581689491613132,38.61412390989437,False,학습,-23.818462450901094,23.818462450901094,중간
삼성전자,005930.KS,2000-09-22 00:00:00+09:00,엔하5터치,롱,2655.31396484375,2823.017333984375,5,5봉경과,6.315764213234701,-64.795539927069,False,학습,-34.26743174499456,34.26743174499456,큼
삼성전자,005930.KS,2000-10-02 00:00:00+09:00,엔하5터치,롱,2662.30078125,2578.449462890625,5,5봉경과,-3.149580954560861,-25.532291108278528,False,학습,-29.55142845308999,29.55142845308999,큼
삼성전자,005930.KS,2000-10-04 00:00:00+09:00,엔하5터치,롱,2718.202880859375,2250.028564453125,5,5봉경과,-17.22367081953184,-17.08868732024053,False,학습,-26.68123501364667,26.68123501364667,중간
삼성전자,005930.KS,2000-10-11 00:00:00+09:00,엔하5터치,롱,2250.028564453125,1907.6331787109373,5,5봉경과,-15.217379510264465,-12.922464648474566,False,학습,-36.4991873197176,36.4991873197176,큼
삼성전자,005930.KS,2000-10-26 00:00:00+09:00,엔하5터치,롱,2019.4351806640625,2319.9052734375,5,5봉경과,14.87891741465216,12.805520383742476,False,학습,-34.6006029210776,34.6006029210776,큼
삼성전자,005930.KS,2001-07-09 00:00:00+09:00,엔하5터치,롱,2389.78173828125,2333.880859375,5,5봉경과,-2.3391625273048726,30.33725426092344,True,학습,-19.148932057906173,19.148932057906173,중간
삼성전자,005930.KS,2001-07-11 00:00:00+09:00,엔하5터치,롱,2361.83251953125,2340.868896484375,5,5봉경과,-0.8875998985328404,26.81602912181416,True,학습,-19.185161062975112,19.185161062975112,중간
삼성전자,005930.KS,2001-07-16 00:00:00+09:00,엔하5터치,롱,2333.880859375,2417.73193359375,5,5봉경과,3.592774407567867,37.666381255604776,False,학습,-18.821687729433457,18.821687729433457,중간
삼성전자,005930.KS,2001-09-21 00:00:00+09:00,엔하5터치,롱,1991.4847412109373,1963.5347900390625,5,5봉경과,-1.4034730266062605,36.81208950043401,True,학습,-22.566994712576545,22.566994712576545,중간
삼성전자,005930.KS,2001-09-26 00:00:00+09:00,엔하5터치,롱,1977.51025390625,1963.5347900390625,5,5봉경과,-0.7067201719728756,72.95749860940774,True,학습,-22.48274569791982,22.48274569791982,중간
삼성전자,005930.KS,2003-02-11 00:00:00+09:00,엔하5터치,롱,3794.302734375,4094.77294921875,5,5봉경과,7.918983694200238,124.09854849139673,True,학습,-17.20289075512994,17.20289075512994,작음
삼성전자,005930.KS,2004-05-17 00:00:00+09:00,엔하5터치,롱,6400.703125,7141.39697265625,5,5봉경과,11.57207002404521,88.0831557115691,True,학습,-18.703509610347425,18.703509610347425,중간
삼성전자,005930.KS,2008-07-10 00:00:00+09:00,엔하5터치,롱,8015.10888671875,8358.6142578125,5,5봉경과,4.285723075614701,90.11106673450968,True,학습,-18.39538380114788,18.39538380114788,중간
삼성전자,005930.KS,2011-08-09 00:00:00+09:00,엔하5터치,롱,10717.42578125,11131.9091796875,5,5봉경과,3.867378294913256,125.32392876252226,True,학습,-14.44856033303587,14.44856033303587,작음
삼성전자,005930.KS,2011-08-11 00:00:00+09:00,엔하5터치,롱,10480.572265625,10066.0859375,5,5봉경과,-3.954806260765594,19.56467562506092,True,학습,-15.573187842942575,15.573187842942575,작음
삼성전자,005930.KS,2011-08-19 00:00:00+09:00,엔하5터치,롱,10066.0859375,10747.029296875,5,5봉경과,6.764728252897453,12.599435142491942,False,학습,-17.3422140938541,17.3422140938541,작음
삼성전자,005930.KS,2013-06-21 00:00:00+09:00,엔하5터치,롱,19815.44140625,20077.638671875,5,5봉경과,1.3231966941816409,67.08744703796047,True,학습,-10.2887118124274,10.2887118124274,작음
삼성전자,005930.KS,2013-06-25 00:00:00+09:00,엔하5터치,롱,19396.701171875,19972.908203125,5,5봉경과,2.9706444727080386,101.33022901679,True,학습,-11.64486826940244,11.64486826940244,작음
삼성전자,005930.KS,2013-07-08 00:00:00+09:00,엔하5터치,롱,18342.158203125,19643.767578125,5,5봉경과,7.096271663267202,105.92618108473506,True,학습,-14.350505853897022,14.350505853897022,작음
삼성전자,005930.KS,2014-10-10 00:00:00+09:00,엔하5터치,롱,16701.82421875,16459.986328125,5,5봉경과,-1.447972912764254,-9.276130453393217,False,학습,-10.301169496219762,10.301169496219762,작음
삼성전자,005930.KS,2015-08-24 00:00:00+09:00,엔하5터치,롱,16560.46875,16713.943359375,5,5봉경과,0.9267528093068016,16.45122486498893,False,학습,-11.590698560792848,11.590698560792848,작음
삼성전자,005930.KS,2016-01-18 00:00:00+09:00,엔하5터치,롱,17559.212890625,18120.611328125,5,5봉경과,3.197173136386626,28.47113571826985,True,학습,-9.758020747127814,9.758020747127814,작음
삼성전자,005930.KS,2020-03-13 00:00:00+09:00,엔하5터치,롱,42820.05078125,38919.52734375,5,5봉경과,-9.109105118595416,0.1357644596054967,True,검증,-14.037894171936612,14.037894171936612,작음
삼성전자,005930.KS,2020-03-17 00:00:00+09:00,엔하5터치,롱,40548.32421875,40248.27734375,5,5봉경과,-0.7399735520050295,94.3157224320726,True,검증,-18.19014178303402,18.19014178303402,작음
삼성전자,005930.KS,2021-08-13 00:00:00+09:00,엔하5터치,롱,67309.3671875,66314.203125,5,5봉경과,-1.4784926735796315,33.802798535294826,True,검증,-7.039186657837993,7.039186657837993,작음
삼성전자,005930.KS,2022-04-18 00:00:00+09:00,엔하5터치,롱,61218.67578125,60851.546875,5,5봉경과,-0.5997008291421486,-2.441220067669054,False,검증,-5.635609257949161,5.635609257949161,작음
삼성전자,005930.KS,2022-04-27 00:00:00+09:00,엔하5터치,롱,59658.3828125,62320.0625,5,5봉경과,4.461535097029663,74.88091738076176,True,검증,-6.786798970253735,6.786798970253735,작음
삼성전자,005930.KS,2022-06-20 00:00:00+09:00,엔하5터치,롱,53876.1171875,53967.89453125,5,5봉경과,0.1703488457243418,55.50201808690073,True,검증,-11.13868921630642,11.13868921630642,작음
삼성전자,005930.KS,2022-07-01 00:00:00+09:00,엔하5터치,롱,51896.9609375,54205.55078125,5,5봉경과,4.448410469603907,59.9106303447911,True,검증,-12.105068311604397,12.105068311604397,작음
삼성전자,005930.KS,2024-09-11 00:00:00+09:00,엔하5터치,롱,62548.81640625,60332.140625,5,5봉경과,-3.543913232271019,-0.5738851457535077,False,검증,-17.578932268636553,17.578932268636553,작음
삼성전자,005930.KS,2024-09-30 00:00:00+09:00,엔하5터치,롱,59604.5625,57084.6953125,5,5봉경과,-4.227641445233324,-80.648218807658,False,검증,-16.65321375793325,16.65321375793325,작음
삼성전자,005930.KS,2024-10-24 00:00:00+09:00,엔하5터치,롱,54855.58203125,57375.4453125,5,5봉경과,4.593631473665689,78.00002684278627,True,검증,-15.96929438091747,15.96929438091747,작음
삼성전자,005930.KS,2024-11-13 00:00:00+09:00,엔하5터치,롱,49040.5,53595.6484375,5,5봉경과,9.288544035032269,132.12091371451612,True,검증,-18.26358781697832,18.26358781697832,작음
아모레퍼시픽,090430.KS,2011-08-09 00:00:00+09:00,엔하5터치,롱,97317.0078125,110904.671875,4,MA50복귀,13.962270694429137,112.64241150165596,True,학습,-11.340118289371004,11.340118289371004,작음
아모레퍼시픽,090430.KS,2013-02-06 00:00:00+09:00,엔하5터치,롱,94321.296875,93485.765625,5,5봉경과,-0.885835201256079,53.98739549346854,True,학습,-14.091444249942098,14.091444249942098,작음
아모레퍼시픽,090430.KS,2013-04-08 00:00:00+09:00,엔하5터치,롱,82716.8046875,81231.421875,5,5봉경과,-1.7957449131548335,17.586662311951045,True,학습,-11.044109384654684,11.044109384654684,작음
아모레퍼시픽,090430.KS,2017-09-25 00:00:00+09:00,엔하5터치,롱,226558.1875,247369.359375,5,5봉경과,9.185795536521937,72.97683240769312,True,학습,-14.378667889131084,14.378667889131084,작음
아모레퍼시픽,090430.KS,2018-10-05 00:00:00+09:00,엔하5터치,롱,213759.890625,188108.703125,5,5봉경과,-12.000000292384131,-4.088996725545215,False,학습,-14.311822377992652,14.311822377992652,작음
아모레퍼시픽,090430.KS,2018-11-09 00:00:00+09:00,엔하5터치,롱,149156.875,152957.078125,5,5봉경과,2.5477894498661224,107.36875785205544,True,학습,-29.365183904259997,29.365183904259997,큼
