진입밴드,청산밴드,표본수,도달률(%),평균보유봉수,연환산근사(%),표본수_학습,승률_학습(%),손익비_학습,손익비_비용반영_학습,표본수_검증,승률_검증(%),손익비_검증,손익비_비용반영_검증,참고용_표본부족
엔하3,엔상3,721,98.47434119278779,67.36477115117891,17.92492422801331,508,65.74803149606299,1.5722958960100384,1.498179428431233,213,72.30046948356808,3.906330820598721,3.6694081124550695,False
엔하3,엔상4,721,97.64216366158114,101.13176144244106,19.81510326325752,508,67.91338582677166,1.9525404182081452,1.8796601092006882,213,76.05633802816901,5.010431109893428,4.766507269322276,False
엔하3,엔상5,721,97.50346740638003,181.84882108183078,17.537761090691177,508,67.1259842519685,2.463001092023482,2.3936209269702005,213,75.5868544600939,4.830711564037066,4.650511073856749,False
엔하4,엔상3,374,99.46524064171123,69.05080213903743,26.716026885487658,251,66.93227091633466,1.960056651370527,1.8755515450149152,123,75.60975609756098,4.3340207816492695,4.128116177239809,False
엔하4,엔상4,374,97.86096256684492,100.96791443850267,25.239506731157686,251,68.12749003984064,2.3789363562987162,2.2918240708588566,123,74.79674796747967,4.65669069008451,4.464429378095786,False
엔하4,엔상5,374,97.86096256684492,194.39304812834226,20.081968700468288,251,67.72908366533864,3.2544514640580293,3.166237339462238,123,72.35772357723577,3.2144661242508326,3.1168539642649806,False
엔하5,엔상3,151,100.0,67.17880794701986,41.49378580092683,103,72.81553398058253,3.584137363866344,3.4351520109761635,48,77.08333333333334,5.552010027012252,5.256019316878971,False
엔하5,엔상4,151,100.0,108.32450331125828,29.0998867944708,103,70.87378640776699,2.9012385134665064,2.811291201911305,48,79.16666666666666,4.473688249964158,4.305280324406396,False
엔하5,엔상5,151,100.0,192.6158940397351,21.330619119891548,103,69.90291262135922,3.118308854191411,3.0461000833453618,48,72.91666666666666,3.21960771959759,3.1178885366811113,False
