종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,추세선방향(수식4),추세선방향(수식5),강약등급(수식4),강약등급(수식5),공통기간구간,공통기간제외여부
테크윙,089030.KQ,2015-10-23 00:00:00+09:00,엔하2터치,롱,4241.14599609375,4249.71337890625,5,5봉경과,0.20200631669814884,46.33592386412775,True,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2015-11-06 00:00:00+09:00,엔하2터치,롱,4104.05908203125,3787.043212890625,5,5봉경과,-7.72444701219365,-21.51063626695251,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2016-01-19 00:00:00+09:00,엔하2터치,롱,3657.06982421875,3674.631103515625,5,5봉경과,0.48020082035558537,-16.307692550073767,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2016-08-17 00:00:00+09:00,엔하2터치,롱,5817.06884765625,6278.04345703125,5,MA50복귀,7.924516993824662,82.82791014647138,True,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2016-08-29 00:00:00+09:00,엔하2터치,롱,5839.0185546875,5729.26318359375,5,5봉경과,-1.879688685106842,-35.422660650721824,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2016-10-07 00:00:00+09:00,엔하2터치,롱,5707.3115234375,5575.60595703125,5,5봉경과,-2.3076638775611125,-11.224508982143004,False,상승,상승,강한신호,강한신호,,False
테크윙,089030.KQ,2017-02-13 00:00:00+09:00,엔하2터치,롱,5620.6630859375,5754.48828125,5,5봉경과,2.380950312558693,39.243342885657256,True,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2017-02-23 00:00:00+09:00,엔하2터치,롱,5620.6630859375,5509.1416015625,5,5봉경과,-1.9841339477190663,-48.86437799125609,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2017-04-06 00:00:00+09:00,엔하2터치,롱,5308.404296875,5063.0576171875,5,5봉경과,-4.6218536864634245,-84.2352038190812,False,상승,상승,강한신호,강한신호,,False
테크윙,089030.KQ,2018-02-06 00:00:00+09:00,엔하2터치,롱,8009.64990234375,8483.4599609375,2,MA50복귀,5.915490244524991,79.10027251472741,True,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2018-04-23 00:00:00+09:00,엔하2터치,롱,8551.1474609375,8280.3974609375,5,5봉경과,-3.166241738162196,-7.550215852308122,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2018-05-09 00:00:00+09:00,엔하2터치,롱,8618.833984375,8077.3369140625,5,5봉경과,-6.28271841984861,-88.40128366658348,False,상승,상승,강한신호,강한신호,,False
테크윙,089030.KQ,2018-05-14 00:00:00+09:00,엔하2터치,롱,8302.9609375,8889.583984375,4,MA50복귀,7.065227107423086,44.7732000808365,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2018-06-01 00:00:00+09:00,엔하2터치,롱,8099.89892578125,8302.9609375,5,5봉경과,2.506969698997377,52.475723655120504,True,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2018-06-15 00:00:00+09:00,엔하2터치,롱,7919.40087890625,6836.40478515625,5,5봉경과,-13.675227587412808,-27.54326257559245,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2018-08-20 00:00:00+09:00,엔하2터치,롱,6565.65673828125,6904.0927734375,2,MA50복귀,5.154641015315177,22.80698107443574,True,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2019-01-02 00:00:00+09:00,엔하2터치,롱,4071.0166015625,4140.4091796875,5,5봉경과,1.704551587885109,54.73015682382649,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2019-06-12 00:00:00+09:00,엔하2터치,롱,5713.302734375,5505.1259765625,5,5봉경과,-3.643720059852093,-58.611425307957106,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2019-11-20 00:00:00+09:00,엔하2터치,롱,4741.81005859375,4764.93994140625,5,5봉경과,0.4877859409526726,12.154000647767319,False,하락,하락,약한신호,약한신호,,False
테크윙,089030.KQ,2020-03-10 00:00:00+09:00,엔하2터치,롱,6962.7568359375,5080.93017578125,5,5봉경과,-27.027034039784496,-51.57812684025568,False,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2020-08-24 00:00:00+09:00,엔하2터치,롱,8750.4912109375,9197.4248046875,1,MA50복귀,5.1075257717117,13.551292505259546,True,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2020-09-22 00:00:00+09:00,엔하2터치,롱,8868.1044921875,9103.3330078125,5,5봉경과,2.652523048552578,91.52296679503154,True,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2020-10-14 00:00:00+09:00,엔하2터치,롱,8868.1044921875,8797.537109375,5,5봉경과,-0.7957437000733074,41.30814111901063,True,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2020-11-11 00:00:00+09:00,엔하2터치,롱,8538.787109375,9103.3330078125,3,MA50복귀,6.611546712737076,71.78338747170075,True,상승,하락,강한신호,약한신호,학습,False
테크윙,089030.KQ,2021-03-24 00:00:00+09:00,엔하2터치,롱,10316.7626953125,9912.650390625,5,5봉경과,-3.9170456530042266,-40.26326104723662,False,상승,하락,강한신호,약한신호,학습,False
테크윙,089030.KQ,2021-11-30 00:00:00+09:00,엔하2터치,롱,9151.96875,10245.44921875,2,MA50복귀,11.948035429535311,132.52688033302368,True,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2022-02-10 00:00:00+09:00,엔하2터치,롱,9366.5712890625,9030.3349609375,5,5봉경과,-3.5897482413615824,31.285659154458983,True,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2022-03-08 00:00:00+09:00,엔하2터치,롱,8982.3017578125,8982.3017578125,5,5봉경과,0.0,-86.29080302205509,False,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2022-08-23 00:00:00+09:00,엔하2터치,롱,7051.3466796875,6888.0322265625,5,5봉경과,-2.3160746527390668,21.183058052268596,True,하락,하락,약한신호,약한신호,학습,False
테크윙,089030.KQ,2024-08-21 00:00:00+09:00,엔하2터치,롱,46298.19921875,43665.36328125,5,5봉경과,-5.686691884192648,-128.67252633222682,False,하락,하락,약한신호,약한신호,검증,False
테크윙,089030.KQ,2024-10-11 00:00:00+09:00,엔하2터치,롱,36064.91015625,35568.1484375,5,5봉경과,-1.377410110264511,-108.72458853538222,False,상승,상승,강한신호,강한신호,검증,False
테크윙,089030.KQ,2024-10-16 00:00:00+09:00,엔하2터치,롱,35071.3828125,40684.79296875,5,MA50복귀,16.0056710231833,135.38460051005757,True,하락,상승,약한신호,강한신호,검증,False
테크윙,089030.KQ,2024-12-02 00:00:00+09:00,엔하2터치,롱,33978.5078125,39293.859375,3,MA50복귀,15.643275425251577,125.46282802392284,True,하락,하락,약한신호,약한신호,검증,False
테크윙,089030.KQ,2024-12-10 00:00:00+09:00,엔하2터치,롱,33730.12890625,34177.21484375,5,5봉경과,1.3254794808007908,12.809441757266868,False,하락,하락,약한신호,약한신호,검증,False
테크윙,089030.KQ,2024-12-17 00:00:00+09:00,엔하2터치,롱,34177.21484375,37157.78515625,5,5봉경과,8.720928039708472,-43.45123290364985,False,하락,하락,약한신호,약한신호,검증,False
테크윙,089030.KQ,2025-07-02 00:00:00+09:00,엔하2터치,롱,31357.39453125,30360.33984375,5,5봉경과,-3.179647743074955,-15.205077511038759,False,하락,하락,약한신호,약한신호,검증,False
테크윙,089030.KQ,2026-06-01 00:00:00+09:00,엔하2터치,롱,49200.0,54700.0,3,MA50복귀,11.178861788617885,143.0500308225691,True,하락,하락,약한신호,약한신호,검증,False
테크윙,089030.KQ,2026-07-03 00:00:00+09:00,엔하2터치,롱,46600.0,43900.0,5,5봉경과,-5.793991416309012,-32.550395255595404,False,하락,하락,약한신호,약한신호,검증,False
