종목,파동순번,선택임계값(%),학습_거래수,학습_승률(%),학습_손익비,검증_거래수,검증_승률(%),검증_손익비,표본부족
삼성전자(005930.KS),1,1.5,215,75.81395348837209,1.136323155174962,77,70.12987012987013,0.4031057960681389,False
삼성전자(005930.KS),2,3.0,65,69.23076923076923,1.3176354141983764,25,68.0,0.29081096126428185,False
삼성전자(005930.KS),3,2.5,42,64.28571428571429,1.758195024398268,17,70.58823529411765,0.5731430383384155,False
삼성전자(005930.KS),4+,0.5,22,68.18181818181817,1.6425112996169196,11,54.54545454545454,0.36915879216975706,False
SK하이닉스(000660.KS),1,2.0,173,73.98843930635837,0.8030738129708003,75,69.33333333333334,0.4209837613711744,False
SK하이닉스(000660.KS),2,0.5,78,75.64102564102564,1.2315116744655081,33,75.75757575757575,1.3043607820935934,False
SK하이닉스(000660.KS),3,0.5,38,73.68421052631578,1.0150725334967734,15,73.33333333333333,1.5299075087912228,False
SK하이닉스(000660.KS),4+,2.5,19,57.89473684210527,0.949597677087276,7,57.14285714285714,0.636304577138486,True
두산에너빌리티(034020.KS),1,3.0,160,68.75,0.7878861838651078,72,69.44444444444444,0.8412555397492981,False
두산에너빌리티(034020.KS),2,3.0,61,73.77049180327869,1.1512648878512233,31,87.09677419354838,0.764821242769563,False
두산에너빌리티(034020.KS),3,0.5,34,67.64705882352942,0.9334288540982906,15,93.33333333333333,0.6154379916678199,False
두산에너빌리티(034020.KS),4+,2.5,15,80.0,0.382001010776512,5,100.0,inf,True
테크윙(089030.KQ),1,0.5,99,67.67676767676768,0.6683986844172235,53,69.81132075471697,0.4821607189327647,False
테크윙(089030.KQ),2,2.0,35,60.0,0.9534334125575418,16,75.0,0.49400510449406443,False
테크윙(089030.KQ),3,2.5,25,72.0,1.980361709271391,4,100.0,inf,True
테크윙(089030.KQ),4+,3.0,16,68.75,1.18160742200773,3,100.0,inf,True
아모레퍼시픽(090430.KS),1,3.0,112,71.42857142857143,0.7839009465726111,48,72.91666666666666,0.9274917812475986,False
아모레퍼시픽(090430.KS),2,3.0,44,65.9090909090909,0.5227022981078111,17,64.70588235294117,0.8871044231409887,False
아모레퍼시픽(090430.KS),3,0.5,37,75.67567567567568,0.7037856435668487,8,37.5,0.19853377039824205,True
아모레퍼시픽(090430.KS),4+,1.0,18,72.22222222222221,0.42215658729288347,6,66.66666666666666,0.699892156411898,True
HD현대중공업(329180.KS),1,3.0,31,77.41935483870968,1.1249064589385815,15,80.0,1.502214171370611,False
HD현대중공업(329180.KS),2,3.0,11,63.63636363636363,0.432620902153916,5,60.0,2.3948856318954634,True
HD현대중공업(329180.KS),3,0.5,6,83.33333333333334,3.4760184468493804,3,66.66666666666666,inf,True
HD현대중공업(329180.KS),4+,0.5,5,80.0,3.0242641890847968,2,50.0,4.206527789383136,True
HD현대일렉트릭(267260.KS),1,3.0,62,69.35483870967742,0.8229187049951758,27,70.37037037037037,0.3946830317936185,False
HD현대일렉트릭(267260.KS),2,2.5,24,66.66666666666666,0.9998375355277539,9,44.44444444444444,0.6929644081740841,True
HD현대일렉트릭(267260.KS),3,0.5,8,12.5,0.007522562047583634,7,71.42857142857143,2.0189311810274075,True
HD현대일렉트릭(267260.KS),4+,0.5,3,33.33333333333333,0.1719334689158688,3,100.0,inf,True
에이피알(278470.KS),1,3.0,14,78.57142857142857,0.20993981628086505,12,75.0,0.9817930434199241,False
에이피알(278470.KS),2,0.5,4,75.0,0.09710941683881621,2,50.0,0.07794795946295734,True
에이피알(278470.KS),3,0.5,1,0.0,0.0,1,0.0,0.0,True
에이피알(278470.KS),4+,0.5,1,0.0,0.0,1,0.0,0.0,True
대한광통신(010170.KQ),1,3.0,146,69.86301369863014,0.9072448342182643,66,71.21212121212122,0.35352099672738335,False
대한광통신(010170.KQ),2,0.5,71,67.6056338028169,1.1935693658102673,31,64.51612903225806,0.2657420574015314,False
대한광통신(010170.KQ),3,2.5,42,71.42857142857143,1.4536257833226427,18,61.111111111111114,0.17965631623485062,False
대한광통신(010170.KQ),4+,3.0,27,74.07407407407408,2.7658510607950104,8,75.0,1.5660208773011146,True
"전체(9종목 합산, 종목별 최적임계값 사용)",1,,1012,71.93675889328063,0.8090273577926823,445,70.78651685393258,0.515850836949276,False
"전체(9종목 합산, 종목별 최적임계값 사용)",2,,393,69.46564885496184,0.9219500378853368,169,71.00591715976331,0.516826846733115,False
"전체(9종목 합산, 종목별 최적임계값 사용)",3,,233,68.6695278969957,0.8721330448717243,88,70.45454545454545,0.452404087698991,False
"전체(9종목 합산, 종목별 최적임계값 사용)",4+,,126,69.04761904761905,0.9001502685504131,46,69.56521739130434,1.0317535213691829,False
